name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Matthew Lowton,DEF,Burnley,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-20T18:00:00Z,0
Matthew Lowton,DEF,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-26T19:00:00Z,0
Matthew Lowton,DEF,Burnley,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-03T19:00:00Z,0
Matthew Lowton,DEF,Burnley,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-19T16:30:00Z,0
Matthew Lowton,DEF,Burnley,Spurs,90,0,0,1,0,12,0,0,0,0,0,0,1.7,15.2,1.3,0.0,True,2020-10-26T20:00:00Z,2
Matthew Lowton,DEF,Burnley,Chelsea,90,0,0,3,0,17,0,0,0,0,0,0,2.8,12.0,15.3,1.0,True,2020-10-31T15:00:00Z,1
Matthew Lowton,DEF,Burnley,Brighton,90,0,0,0,1,24,0,0,0,0,0,0,2.2,16.6,5.2,0.0,False,2020-11-06T17:30:00Z,6
Matthew Lowton,DEF,Burnley,Crystal Palace,90,0,0,0,1,17,1,0,0,0,0,0,0.7,5.6,1.2,0.0,True,2020-11-23T17:30:00Z,5
Matthew Lowton,DEF,Burnley,Man City,90,0,0,5,0,10,0,0,0,0,0,0,1.5,11.0,1.6,2.0,False,2020-11-28T15:00:00Z,0
Matthew Lowton,DEF,Burnley,Everton,90,0,0,1,0,14,0,0,0,0,0,0,3.1,18.6,12.4,0.0,True,2020-12-05T12:30:00Z,2
Matthew Lowton,DEF,Burnley,Arsenal,90,0,0,0,1,28,0,0,0,0,0,0,2.5,23.8,1.6,0.0,False,2020-12-13T19:15:00Z,8
Matthew Lowton,DEF,Burnley,Aston Villa,90,0,0,0,1,24,0,0,0,0,0,0,2.5,24.6,0.4,0.0,False,2020-12-17T18:00:00Z,6
Matthew Lowton,DEF,Burnley,Wolves,90,0,0,1,0,8,0,0,0,0,0,0,1.0,8.2,1.1,1.0,True,2020-12-21T17:30:00Z,2
Matthew Lowton,DEF,Burnley,Leeds,90,0,0,1,0,7,0,0,0,0,0,0,3.1,11.8,2.2,17.0,False,2020-12-27T12:00:00Z,2
Matthew Lowton,DEF,Burnley,Sheffield Utd,90,0,0,0,1,23,1,0,0,0,0,0,3.3,16.8,15.7,0.0,True,2020-12-29T18:00:00Z,5
Matthew Lowton,DEF,Burnley,Man Utd,90,0,0,1,0,8,0,0,0,0,0,0,2.6,12.6,11.4,2.0,True,2021-01-12T20:15:00Z,2
Matthew Lowton,DEF,Burnley,West Ham,90,0,0,1,0,10,0,0,0,0,0,0,3.1,15.4,12.5,3.0,False,2021-01-16T15:00:00Z,2
Matthew Lowton,DEF,Burnley,Liverpool,90,0,0,0,1,21,0,0,0,0,0,0,1.6,15.2,0.8,0.0,False,2021-01-21T20:00:00Z,6
Matthew Lowton,DEF,Burnley,Aston Villa,90,0,0,2,0,7,0,0,0,0,0,0,1.2,10.8,1.3,0.0,True,2021-01-27T18:00:00Z,1
Matthew Lowton,DEF,Burnley,Chelsea,90,0,0,2,0,15,0,0,0,0,0,0,1.4,13.6,0.8,0.0,False,2021-01-31T12:00:00Z,1
Matthew Lowton,DEF,Burnley,Man City,90,0,0,2,0,9,0,0,0,0,0,0,3.1,17.2,11.3,2.0,True,2021-02-03T18:00:00Z,1
Matthew Lowton,DEF,Burnley,Brighton,90,0,0,1,0,14,0,0,0,0,0,0,5.2,9.4,14.2,28.0,True,2021-02-06T15:00:00Z,2
Matthew Lowton,DEF,Burnley,Crystal Palace,90,1,0,0,1,51,0,0,0,0,0,0,12.1,61.4,40.9,19.0,False,2021-02-13T15:00:00Z,15
Matthew Lowton,DEF,Burnley,Fulham,90,0,0,1,0,8,0,0,0,0,0,0,1.3,8.8,1.7,2.0,True,2021-02-17T18:00:00Z,2
Matthew Lowton,DEF,Burnley,West Brom,90,0,0,0,1,25,1,0,0,0,0,0,4.7,22.6,18.6,6.0,True,2021-02-20T15:00:00Z,6
Matthew Lowton,DEF,Burnley,Spurs,90,0,0,4,0,13,0,0,0,0,0,0,4.9,13.0,30.3,6.0,False,2021-02-28T14:00:00Z,0
Matthew Lowton,DEF,Burnley,Leicester,90,0,0,1,0,21,0,0,0,0,0,0,6.7,16.2,49.7,1.0,True,2021-03-03T18:00:00Z,2
Matthew Lowton,DEF,Burnley,Arsenal,90,0,0,1,0,11,0,0,0,0,0,0,0.8,5.6,2.2,0.0,True,2021-03-06T12:30:00Z,2
Matthew Lowton,DEF,Burnley,Everton,90,0,0,1,0,5,1,0,0,0,0,0,0.7,6.2,1.0,0.0,False,2021-03-13T17:30:00Z,1
Matthew Lowton,DEF,Burnley,Southampton,90,0,0,3,0,13,0,0,0,0,0,0,3.0,12.8,15.6,2.0,False,2021-04-04T11:00:00Z,1
Matthew Lowton,DEF,Burnley,Newcastle,90,0,0,2,0,7,0,0,0,0,0,0,3.5,13.6,12.7,9.0,True,2021-04-11T11:00:00Z,1
Matthew Lowton,DEF,Burnley,Man Utd,90,0,0,3,0,14,0,0,0,0,0,0,2.5,13.6,11.0,0.0,False,2021-04-18T15:00:00Z,1
Matthew Lowton,DEF,Burnley,Wolves,90,0,1,0,1,27,1,0,0,0,0,0,4.8,28.0,12.7,7.0,False,2021-04-25T11:00:00Z,8
Matthew Lowton,DEF,Burnley,West Ham,90,0,0,2,0,14,0,0,0,0,0,0,4.2,16.2,26.1,0.0,True,2021-05-03T19:15:00Z,1
Matthew Lowton,DEF,Burnley,Fulham,90,0,0,0,1,27,0,0,0,0,0,0,4.4,28.6,14.3,1.0,False,2021-05-10T19:00:00Z,6
