name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Serge Aurier,DEF,Spurs,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-13T15:30:00Z,0
Serge Aurier,DEF,Spurs,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-20T11:00:00Z,0
Serge Aurier,DEF,Spurs,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-27T13:00:00Z,0
Serge Aurier,DEF,Spurs,Man Utd,90,1,1,1,0,41,0,0,0,0,0,0,14.1,71.0,13.8,56.0,False,2020-10-04T15:30:00Z,12
Serge Aurier,DEF,Spurs,West Ham,90,0,0,3,0,19,0,0,0,0,0,0,4.3,23.2,16.2,4.0,True,2020-10-18T15:30:00Z,1
Serge Aurier,DEF,Spurs,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-26T20:00:00Z,0
Serge Aurier,DEF,Spurs,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-01T19:15:00Z,0
Serge Aurier,DEF,Spurs,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-08T12:00:00Z,0
Serge Aurier,DEF,Spurs,Man City,90,0,0,0,1,21,0,0,0,0,0,0,2.9,24.0,5.1,0.0,True,2020-11-21T17:30:00Z,6
Serge Aurier,DEF,Spurs,Chelsea,90,0,0,0,1,23,0,0,0,0,0,0,2.6,13.6,4.4,8.0,False,2020-11-29T16:30:00Z,6
Serge Aurier,DEF,Spurs,Arsenal,90,0,0,0,1,28,0,0,0,0,0,0,2.0,19.2,0.8,0.0,True,2020-12-06T16:30:00Z,7
Serge Aurier,DEF,Spurs,Crystal Palace,90,0,0,1,0,8,0,0,0,0,0,0,2.9,5.2,17.4,6.0,False,2020-12-13T14:15:00Z,2
Serge Aurier,DEF,Spurs,Liverpool,90,0,0,2,0,12,0,0,0,0,0,0,3.1,30.8,0.3,0.0,False,2020-12-16T20:00:00Z,1
Serge Aurier,DEF,Spurs,Leicester,63,0,0,2,0,6,0,0,0,0,0,0,1.4,2.4,9.3,2.0,True,2020-12-20T14:15:00Z,1
Serge Aurier,DEF,Spurs,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-27T19:15:00Z,0
Serge Aurier,DEF,Spurs,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-02T12:30:00Z,0
Serge Aurier,DEF,Spurs,Fulham,90,0,0,1,0,25,0,0,0,0,0,0,8.3,25.8,54.9,2.0,True,2021-01-13T20:15:00Z,2
Serge Aurier,DEF,Spurs,Sheffield Utd,90,1,0,1,0,19,0,0,0,0,0,0,7.9,39.4,2.6,37.0,False,2021-01-17T14:00:00Z,8
Serge Aurier,DEF,Spurs,Liverpool,45,0,0,1,0,4,0,0,0,0,0,0,0.2,0.0,2.3,0.0,True,2021-01-28T20:00:00Z,1
Serge Aurier,DEF,Spurs,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-31T19:15:00Z,0
Serge Aurier,DEF,Spurs,Chelsea,90,0,0,1,0,10,0,0,0,0,0,0,3.6,14.8,17.2,4.0,True,2021-02-04T20:00:00Z,2
Serge Aurier,DEF,Spurs,West Brom,67,0,0,0,1,22,0,0,0,0,0,0,7.1,8.6,22.5,40.0,True,2021-02-07T12:00:00Z,6
Serge Aurier,DEF,Spurs,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-13T17:30:00Z,0
Serge Aurier,DEF,Spurs,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-21T12:00:00Z,0
Serge Aurier,DEF,Spurs,Burnley,80,0,0,0,1,30,0,0,0,0,0,0,4.0,17.4,22.0,1.0,True,2021-02-28T14:00:00Z,6
Serge Aurier,DEF,Spurs,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-03-04T18:00:00Z,0
Serge Aurier,DEF,Spurs,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-03-07T19:15:00Z,0
Serge Aurier,DEF,Spurs,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-03-14T16:30:00Z,0
Serge Aurier,DEF,Spurs,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-03-21T19:30:00Z,0
Serge Aurier,DEF,Spurs,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-04-04T13:05:00Z,0
Serge Aurier,DEF,Spurs,Man Utd,90,0,0,3,0,10,0,0,0,0,0,0,3.4,8.2,12.7,13.0,True,2021-04-11T15:30:00Z,1
Serge Aurier,DEF,Spurs,Everton,90,0,0,2,0,10,0,0,0,0,0,0,1.8,6.0,11.8,0.0,False,2021-04-16T19:00:00Z,1
Serge Aurier,DEF,Spurs,Southampton,90,0,0,1,0,12,0,0,0,0,0,0,3.7,30.6,6.8,0.0,True,2021-04-21T17:00:00Z,2
Serge Aurier,DEF,Spurs,Sheffield Utd,90,0,2,0,1,56,0,0,0,0,0,0,10.6,55.0,46.7,4.0,True,2021-05-02T18:15:00Z,14
Serge Aurier,DEF,Spurs,Leeds,90,0,0,3,0,14,0,0,0,0,0,0,3.5,17.0,0.8,17.0,False,2021-05-08T11:30:00Z,1
Serge Aurier,DEF,Spurs,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-05-16T13:05:00Z,0
Serge Aurier,DEF,Spurs,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-05-19T17:00:00Z,0
Serge Aurier,DEF,Spurs,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-05-23T15:00:00Z,0
